City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mahebourg,40,MU,1547265600,83,-20.41,57.7,82.4,11.41
Havoysund,90,NO,1547266800,86,71.0,24.66,33.8,59.73
Mawlaik,8,MM,1547268660,79,23.63,94.42,69.14,2.71
Valdosta,90,US,1547266500,71,30.83,-83.28,50.0,6.93
Grindavik,75,IS,1547267400,86,63.84,-22.43,35.6,18.34
Scarborough,88,GB,1547265000,93,54.28,-0.41,48.2,11.41
Norman Wells,20,CA,1547265600,65,65.28,-126.83,-40.01,3.36
Saint George,90,GR,1547266800,93,39.45,22.34,35.6,8.05
Sitka,92,US,1547268667,97,37.17,-99.65,32.78,15.23
Maltahohe,0,NA,1547268668,60,-24.83,16.98,57.53,4.16
Aklavik,90,CA,1547265600,68,68.22,-135.01,-20.21,2.24
Guerrero Negro,0,MX,1547268671,100,27.97,-114.04,47.18,3.15
Seoul,20,KR,1547267400,41,37.57,126.98,44.6,3.36
Qaanaaq,8,GL,1547268673,100,77.48,-69.36,-20.41,9.64
Hithadhoo,24,MV,1547268675,100,-0.6,73.08,80.39,3.27
Smithers,90,CA,1547265600,100,54.78,-127.17,33.8,2.24
Kodiak,90,US,1547267700,100,39.95,-94.76,33.08,6.93
Jamestown,0,AU,1547268652,37,-33.21,138.6,89.66,13.44
Bathsheba,20,BB,1547265600,73,13.22,-59.52,77.0,14.99
Nizhnedevitsk,90,RU,1547267400,92,51.55,38.36,17.6,6.71
Lakatoro,56,VU,1547268682,80,-16.11,167.42,84.53,2.48
East London,20,ZA,1547265600,72,-33.02,27.91,64.4,16.11
Rio Gallegos,40,AR,1547265600,45,-51.62,-69.22,48.2,17.22
Wattegama,76,LK,1547268686,70,7.35,80.68,82.01,6.73
Sangar,8,RU,1547268687,49,63.92,127.47,-30.04,2.82
Tasiilaq,92,GL,1547265000,73,65.61,-37.64,19.4,20.8
Faanui,88,PF,1547268689,100,-16.48,-151.75,81.56,16.24
Saldanha,0,PT,1547268690,82,41.42,-6.55,18.02,3.71
Thompson,75,CA,1547265600,76,55.74,-97.86,-4.01,3.36
Magdagachi,48,RU,1547268692,60,53.45,125.8,-2.68,3.71
Lompoc,90,US,1547266500,71,34.64,-120.46,60.08,11.41
Minab,0,IR,1547267400,15,27.15,57.07,68.0,9.17
Turbat,0,PK,1547268696,26,26.0,63.05,67.7,17.25
Zhigansk,44,RU,1547268697,32,66.77,123.37,-21.94,8.3
Butaritari,80,KI,1547268698,100,3.07,172.79,83.99,12.21
Auki,0,NG,1547268699,50,12.18,6.51,57.71,4.83
Kysyl-Syr,32,RU,1547268700,40,63.9,122.77,-26.26,2.93
Christchurch,0,NZ,1547267400,67,-43.53,172.64,62.6,19.46
Wajir,0,KE,1547268702,43,1.75,40.07,80.39,7.63
Ponta do Sol,76,BR,1547268704,91,-20.63,-46.0,65.0,4.27
Nemuro,75,JP,1547265600,62,43.32,145.57,23.0,14.99
Castro,90,CL,1547265600,100,-42.48,-73.76,53.6,2.24
Smolyaninovo,0,RU,1547267400,17,43.29,132.46,33.8,4.47
Nanortalik,88,GL,1547268708,88,60.14,-45.24,31.43,36.26
Sistranda,75,NO,1547266800,100,63.73,8.83,37.4,12.75
Kruisfontein,0,ZA,1547268711,79,-34.0,24.73,66.44,16.69
Lahat,56,ID,1547268712,85,-3.78,103.55,83.99,7.4
Leningradskiy,0,RU,1547268713,92,69.38,178.42,-15.01,12.66
Victoria,75,BN,1547265600,66,5.28,115.24,87.8,3.36
Chuy,92,UY,1547268715,94,-33.69,-53.46,66.17,8.63
Duldurga,0,RU,1547268716,53,50.67,113.59,13.43,14.9
Suntar,8,RU,1547268718,34,62.16,117.65,-9.34,4.83
Kapaa,75,US,1547265360,73,22.08,-159.32,75.92,8.05
Lerwick,80,GB,1547266800,81,60.15,-1.15,46.4,24.16
Humaita,90,AR,1547265600,100,-24.93,-65.37,64.4,1.59
Lucapa,32,AO,1547268722,93,-8.42,20.74,70.76,4.16
Bubaque,68,GW,1547268723,100,11.28,-15.83,77.24,4.72
Lorengau,80,PG,1547268724,98,-2.02,147.27,83.99,12.33
Lisakovsk,56,KZ,1547268725,85,52.55,62.49,2.63,10.2
Petropavlovsk-Kamchatskiy,40,RU,1547267400,55,53.05,158.65,33.8,20.13
Mehamn,88,NO,1547268728,90,71.03,27.85,30.8,15.35
Novomykolayivka,56,UA,1547268729,80,48.54,32.26,8.21,10.76
Upernavik,32,GL,1547268730,100,72.79,-56.15,-3.94,10.98
Sechura,36,PE,1547268731,83,-5.56,-80.82,73.46,10.76
Zaozerne,68,UA,1547268732,91,51.37,23.94,30.71,14.12
Tuktoyaktuk,90,CA,1547265600,82,69.44,-133.03,-16.61,8.05
Cap Malheureux,40,MU,1547265600,83,-19.98,57.61,82.4,11.41
Kaeo,12,NZ,1547268736,43,-35.1,173.78,77.78,7.4
Iqaluit,20,CA,1547265600,68,63.75,-68.52,-20.21,24.16
Takoradi,64,GH,1547268738,100,4.89,-1.75,76.79,4.16
Margate,0,AU,1547267940,30,-43.03,147.26,71.6,21.92
Vila Velha,40,BR,1547265600,83,-3.71,-38.6,80.6,3.36
Montelibano,44,CO,1547268741,75,7.98,-75.42,75.89,6.51
Taoudenni,8,ML,1547268743,37,22.68,-3.98,42.32,12.21
Volary,92,CZ,1547268745,94,48.91,13.89,32.78,14.56
Kashan,0,IR,1547265600,54,33.99,51.44,28.4,1.03
Atambua,32,ID,1547268747,91,-9.11,124.89,84.53,8.3
Gorele,0,TR,1547266800,62,41.03,39.0,51.8,6.93
Clyde River,1,CA,1547265600,74,70.47,-68.59,-27.41,8.05
Mandalgovi,0,MN,1547268750,56,45.76,106.27,15.14,10.98
Khatanga,44,RU,1547268752,0,71.98,102.47,-32.38,10.65
Kavieng,48,PG,1547268753,100,-2.57,150.8,84.17,10.98
Mantua,0,IT,1547266800,92,45.16,10.79,28.4,2.24
Kenai,1,US,1547265360,78,60.55,-151.26,-2.03,6.93
Vestmannaeyjar,12,IS,1547268756,97,63.44,-20.27,40.16,16.24
Vyshkov,90,RU,1547267400,92,52.48,31.69,12.2,8.95
Nova Vicosa,76,BR,1547268646,96,-17.89,-39.37,76.34,4.61
Bitburg,75,DE,1547267220,100,49.97,6.52,37.4,9.17
Kukushtan,0,RU,1547267400,78,57.65,56.5,12.2,11.18
Huilong,100,CN,1547268762,100,28.89,110.18,37.55,2.93
Chittaurgarh,0,IN,1547268763,75,24.88,74.62,65.9,6.4
Plainview,90,US,1547266500,80,34.18,-101.71,39.92,13.87
San Jeronimo,92,PE,1547268765,98,-13.65,-73.37,43.76,1.48
Bilma,20,NE,1547268766,51,18.69,12.92,45.38,2.82
Constitucion,0,MX,1547268768,79,23.99,-104.67,41.69,4.27
Alice Springs,40,AU,1547267400,13,-23.7,133.88,107.6,11.41
Pisco,0,PE,1547265600,88,-13.71,-76.2,71.6,16.11
Santa Rosa,0,AR,1547268772,68,-36.62,-64.29,65.09,14.45
Sinegorye,44,RU,1547268773,48,62.09,150.53,-18.43,2.71
Lafiagi,0,NG,1547268774,69,8.85,5.42,63.56,2.71
Fairbanks,20,US,1547266260,65,64.84,-147.72,-40.01,3.04
Lasa,0,CY,1547265600,70,34.92,32.53,50.0,6.93
Vardo,1,US,1547266800,79,39.62,-77.74,28.4,2.37
Kieta,44,PG,1547268779,97,-6.22,155.63,82.19,2.15
La Ronge,40,CA,1547265600,84,55.1,-105.3,1.4,10.29
Hobyo,32,SO,1547268781,73,5.35,48.53,79.04,20.49
Narsaq,75,GL,1547265000,51,60.91,-46.05,35.6,31.09
Padang,40,ID,1547263800,79,-0.92,100.36,86.0,4.7
Hasaki,75,JP,1547267400,80,35.73,140.83,44.6,4.7
Soure,0,PT,1547265600,74,40.06,-8.63,32.0,3.36
Shimoda,75,JP,1547265600,70,34.7,138.93,48.2,18.34
Thinadhoo,44,MV,1547268788,100,0.53,72.93,81.02,7.4
Egvekinot,32,RU,1547268789,0,66.32,-179.17,-41.92,3.49
Mongu,64,ZM,1547268790,93,-15.27,23.14,70.76,10.87
Klaksvik,88,FO,1547266800,87,62.23,-6.59,44.6,28.86
Were Ilu,0,ET,1547268792,32,10.6,39.43,51.41,1.59
Talnakh,24,RU,1547268794,0,69.49,88.39,-37.24,4.61
Xuddur,0,SO,1547268795,52,4.12,43.89,73.01,17.69
Bonavista,0,CA,1547268796,98,48.65,-53.11,30.26,18.7
Sur,0,OM,1547268797,100,22.57,59.53,71.3,16.58
Saskylakh,24,RU,1547268798,0,71.97,114.09,-42.91,5.39
Hamilton,75,BM,1547268180,82,32.3,-64.78,57.2,17.22
Dalbandin,0,PK,1547268800,85,28.9,64.41,48.08,5.17
Valley City,90,US,1547267700,100,46.92,-98.0,15.98,12.75
Pontalina,32,BR,1547268803,95,-17.52,-49.45,65.36,3.38
Pangnirtung,56,CA,1547268804,51,66.15,-65.72,-17.62,4.94
The Pas,90,CA,1547265600,84,53.82,-101.24,1.4,9.17
Alyangula,75,AU,1547265600,74,-13.85,136.42,87.8,12.75
Bambous Virieux,40,MU,1547265600,83,-20.34,57.76,82.4,11.41
Mugur-Aksy,0,RU,1547268808,64,50.38,90.44,7.31,3.6
Avera,1,US,1547267700,56,33.19,-82.53,42.8,6.93
Dunedin,0,NZ,1547268811,76,-45.87,170.5,58.97,10.54
Tchibanga,24,GA,1547268812,100,-2.92,11.0,70.85,2.71
Manuk Mangkaw,88,PH,1547268813,100,4.8,119.85,80.21,5.73
Ituporanga,76,BR,1547268814,97,-27.41,-49.6,64.91,2.37
Ilulissat,0,GL,1547265000,39,69.22,-51.1,-5.81,3.36
Ahipara,56,NZ,1547268816,63,-35.17,173.16,74.36,8.41
Pimentel,92,BR,1547268817,99,-3.7,-45.5,70.04,3.6
Havre-Saint-Pierre,90,CA,1547268240,92,50.23,-63.6,24.8,20.8
Banjar,24,ID,1547268820,84,-7.37,108.54,82.19,1.36
Rocha,0,UY,1547268821,92,-34.48,-54.34,54.83,3.83
Baker City,1,US,1547265180,81,44.77,-117.83,33.98,5.82
Geraldton,5,CA,1547265600,75,49.72,-86.95,-13.01,2.24
Javanrud,0,IR,1547265600,85,34.8,46.49,19.4,2.04
Nirasaki,75,JP,1547265600,55,35.72,138.41,35.6,3.36
Luau,12,CD,1547268827,90,-10.7,22.23,71.39,3.27
Sarkand,92,KZ,1547268828,97,45.41,79.91,23.24,4.16
Kevsala,92,RU,1547268829,63,45.79,42.68,30.98,6.17
Roatan,75,HN,1547265600,78,16.32,-86.54,73.4,4.7
Komsomolskiy,68,RU,1547268831,81,67.55,63.78,-1.96,16.8
Benguela,32,AO,1547268832,100,-12.58,13.4,76.61,1.14
Riachao das Neves,48,BR,1547268833,76,-11.75,-44.91,71.21,2.93
Rawlins,75,US,1547267700,100,41.79,-107.24,23.0,6.93
Saint-Pierre,75,FR,1547265600,93,48.95,4.24,41.0,9.17
Frontera,0,MX,1547268837,87,18.53,-92.64,69.77,8.63
Mana,8,RS,1547267400,92,43.52,20.24,12.2,2.24
Coihaique,20,CL,1547265600,66,-45.58,-72.07,53.6,3.36
Whitehorse,5,CA,1547265600,84,60.72,-135.06,-0.41,4.7
Grand Gaube,40,MU,1547265600,83,-20.01,57.66,82.4,11.41
Wangqing,20,CN,1547268843,61,43.31,129.76,29.18,2.71
Tateyama,75,JP,1547265600,56,36.66,137.31,44.6,3.36
Ahuimanu,90,US,1547265420,78,21.44,-157.84,78.08,4.72
Wote,44,KE,1547268847,81,-1.78,37.63,70.31,4.38
Cabo San Lucas,5,MX,1547264880,82,22.89,-109.91,68.0,8.05
Kaitangata,0,NZ,1547268849,70,-46.28,169.85,61.49,13.0
Kavaratti,20,IN,1547268850,100,10.57,72.64,81.47,11.1
Omboue,32,GA,1547268851,100,-1.57,9.26,77.96,5.61
Ban Nahin,0,LA,1547268852,41,18.24,104.21,87.14,2.93
Songea,90,TZ,1547265600,94,-10.68,35.65,69.8,3.83
Cabadiangan,40,PH,1547265600,62,10.45,123.98,86.0,11.41
Katsuura,90,JP,1547265600,75,33.93,134.5,44.6,9.17
Bridlington,68,GB,1547266800,87,54.08,-0.19,48.2,16.11
Urdoma,80,RU,1547268858,70,61.74,48.55,18.11,12.33
Chokurdakh,0,RU,1547268859,0,70.62,147.9,-41.92,2.93
Bonfim,0,BR,1547265600,68,-20.33,-44.24,71.6,4.7
Comodoro Rivadavia,0,AR,1547265600,45,-45.87,-67.48,64.4,17.22
Vostok,0,RU,1547268863,56,46.45,135.83,15.5,2.48
Georgetown,75,GY,1547265600,88,6.8,-58.16,75.2,2.24
Edea,40,CM,1547265600,100,3.8,10.13,77.0,1.12
Fortuna,0,ES,1547267400,47,38.18,-1.13,37.4,6.93
Mikhaylovka,20,RU,1547268868,77,52.96,103.29,3.98,5.39
Strezhevoy,75,RU,1547267400,74,60.73,77.6,-25.61,4.47
Coquimbo,0,CL,1547265600,87,-29.95,-71.34,59.0,3.36
Boras,90,SE,1547266800,92,57.72,12.94,26.6,5.82
Morondava,56,MG,1547268872,100,-20.3,44.28,80.66,5.61
Vereshchagino,76,RU,1547268873,83,58.07,54.67,14.06,15.57
Loandjili,20,CG,1547265600,100,-4.77,11.87,73.4,5.82
Anadyr,0,RU,1547267400,57,64.73,177.51,-7.61,17.9
Bereda,20,ES,1547267400,95,43.27,-7.54,32.0,3.36
Eucaliptus,88,BO,1547268879,100,-17.6,-67.51,42.68,4.16
Flin Flon,44,CA,1547268880,84,54.77,-101.88,2.81,7.18
Salalah,0,OM,1547265000,25,17.01,54.1,73.4,13.87
Oistins,20,BB,1547265600,73,13.07,-59.53,77.0,14.99
Rapid Valley,1,US,1547267700,80,44.06,-103.15,31.82,8.05
Caiaponia,24,BR,1547268884,90,-16.96,-51.81,68.06,1.59
Ketchikan,90,US,1547265360,96,55.34,-131.65,41.0,4.7
Shu,92,KZ,1547268887,100,43.6,73.76,26.48,4.72
Zyryanka,0,RU,1547268888,0,65.73,150.89,-37.33,2.26
Conakry,0,GN,1547268889,100,9.52,-13.7,79.58,7.63
Meulaboh,36,ID,1547268890,100,4.14,96.13,83.99,4.83
Pevek,0,RU,1547268891,52,69.7,170.27,-17.62,4.5
Henties Bay,80,NA,1547268892,100,-22.12,14.28,61.67,5.06
Codrington,0,AU,1547265600,43,-28.95,153.24,89.6,11.41
Provideniya,24,RU,1547268895,100,64.42,-173.23,-6.91,21.5
San Andres,76,PH,1547268896,100,13.32,122.68,79.58,18.7
Alvorada,90,BR,1547265600,83,-30.0,-51.08,73.4,9.17
Olovyannaya,32,RU,1547268898,73,50.94,115.59,4.61,4.38
Souillac,90,FR,1547265600,93,45.6,-0.6,41.0,1.7
Karratha,0,AU,1547268900,22,-20.74,116.85,107.03,9.64
Porosozero,76,RU,1547268902,79,62.72,32.71,28.46,8.08
Raudeberg,92,NO,1547266800,100,61.99,5.14,37.4,16.11
Kutum,0,SD,1547268904,51,14.2,24.66,51.14,2.93
Bend,90,US,1547267700,95,44.06,-121.32,30.2,6.93
Tazovskiy,32,RU,1547268906,35,67.47,78.7,-23.65,13.0
Panguna,88,PG,1547268907,72,-6.32,155.48,82.37,3.83
Lingyuan,68,CN,1547268816,27,41.24,119.4,36.92,4.72
Nossa Senhora da Gloria,88,BR,1547268909,99,-10.22,-37.42,72.74,3.94
Eyl,92,SO,1547268911,92,7.98,49.82,75.71,17.81
Tiksi,36,RU,1547268912,42,71.64,128.87,-27.07,7.18
Port Lincoln,0,AU,1547268913,74,-34.72,135.86,70.94,15.79
Worland,1,US,1547267700,94,44.02,-107.96,30.92,4.94
Amapa,90,HN,1547265600,94,15.09,-87.97,69.8,4.7
Dicabisagan,68,PH,1547268916,98,17.08,122.42,77.24,7.85
Buena Vista,90,US,1547267700,83,38.84,-106.13,29.84,1.81
Kangaatsiaq,36,GL,1547268919,100,68.31,-53.46,8.48,9.75
Arraial do Cabo,0,BR,1547268920,90,-22.97,-42.02,76.16,15.68
Maningrida,12,AU,1547268921,74,-12.05,134.23,91.55,8.97
Venice,75,US,1547267700,87,27.1,-82.45,60.98,6.93
Chunoyar,56,RU,1547268923,60,57.45,97.32,0.92,3.49
Sann,20,PK,1547265600,76,26.04,68.14,50.0,4.7
Gat,0,SN,1547267400,72,14.69,-16.54,66.2,14.99
Igboho,0,NG,1547268927,61,8.84,3.76,62.21,3.38
Sorland,68,NO,1547268928,100,67.67,12.69,38.09,22.17
Bandarbeyla,20,SO,1547268929,100,9.49,50.81,76.43,16.8
Mumford,32,GH,1547268930,96,5.26,-0.76,76.07,4.5
Polyarnyy,75,RU,1547267400,92,69.2,33.45,23.0,2.59
Cairns,75,AU,1547267400,78,-16.92,145.77,80.6,8.05
Cascais,0,PT,1547265600,70,38.7,-9.42,42.8,10.29
Wamba,8,CD,1547268935,79,2.14,27.99,74.63,3.6
Ugoofaaru,0,MV,1547268936,100,5.67,73.0,81.92,9.42
Binga,24,ZW,1547268937,96,-17.62,27.34,75.8,4.61
San Patricio,80,PY,1547268938,88,-26.98,-56.83,76.34,3.83
Abha,0,SA,1547265600,93,18.22,42.5,51.8,2.93
San Ramon,92,NI,1547268941,92,12.92,-85.84,64.1,2.71
Carndonagh,92,IE,1547268942,95,55.25,-7.27,47.63,22.95
Broken Hill,0,AU,1547265600,10,-31.97,141.45,109.4,12.75
Moose Factory,90,CA,1547267580,76,51.26,-80.61,-11.21,9.17
Severo-Kurilsk,64,RU,1547268946,97,50.68,156.12,32.87,19.71
Tura,0,IN,1547268947,65,25.52,90.21,70.04,5.5
Sorata,92,BO,1547268948,100,-15.77,-68.65,53.84,2.15
Saurimo,68,AO,1547268949,88,-9.66,20.4,70.04,3.94
Gitarama,40,RW,1547267400,77,-2.07,29.76,64.4,2.37
Penzance,92,GB,1547265000,100,50.12,-5.53,46.4,14.99
Novoorsk,0,RU,1547265600,85,51.38,58.98,12.2,11.18
Omsukchan,32,RU,1547268954,53,62.53,155.8,-19.78,2.59
Makakilo City,1,US,1547265420,68,21.35,-158.09,78.08,4.7
Durres,0,AL,1547268600,92,41.32,19.44,24.8,4.7
Virginia Beach,1,US,1547267700,81,36.85,-75.98,37.04,6.17
Antalaha,68,MG,1547268958,96,-14.9,50.28,80.93,1.14
Port Hardy,90,CA,1547265600,81,50.7,-127.42,48.2,9.17
Paramonga,8,PE,1547268960,100,-10.68,-77.82,71.3,13.33
Belle Fourche,1,US,1547267700,80,44.67,-103.85,30.2,8.05
Laguna,0,MX,1547268963,91,27.52,-110.01,54.74,2.37
Visegrad,0,BA,1547267400,85,43.78,19.3,12.2,2.15
San Vicente,75,SV,1547265000,65,13.64,-88.78,78.8,5.82
Winona,90,CA,1547265600,73,43.21,-79.65,19.4,2.24
Evensk,0,RU,1547268968,100,61.92,159.24,12.35,14.67
Diepholz,75,DE,1547266800,93,52.61,8.37,42.8,13.87
Mto wa Mbu,8,TZ,1547268971,65,-3.38,35.86,74.9,7.63
Bulaevo,88,KZ,1547268972,85,54.91,70.44,5.15,6.29
Sinnamary,80,GF,1547268973,94,5.38,-52.96,78.86,9.64
Barraute,1,CA,1547265600,83,48.43,-77.63,-7.61,4.7
Sarangani,92,PH,1547268975,99,5.4,125.46,80.93,5.84
Hami,36,CN,1547268708,78,42.84,93.51,17.66,4.61
Denpasar,40,ID,1547267400,79,-8.65,115.22,87.8,9.17
Bethel,1,US,1547265360,76,60.79,-161.76,-23.08,19.46
Norman,90,US,1547268000,95,35.22,-97.44,46.94,17.22
Laranjal Paulista,8,BR,1547268764,91,-23.05,-47.84,68.87,2.82
Ukiah,90,US,1547265360,82,39.15,-123.21,51.98,5.95
Ushtobe,92,KZ,1547268983,94,45.25,77.98,27.83,6.17
Homer,90,US,1547266500,77,59.64,-151.54,19.94,5.82
Port Augusta,0,AU,1547265600,51,-32.49,137.76,82.4,26.4
Basco,90,US,1547267700,100,40.33,-91.2,28.94,9.17
Wawa,0,NG,1547268988,66,9.9,4.41,62.75,3.94
Vao,44,EE,1547268989,83,59.1,26.19,32.06,10.76
Trinidad,0,UY,1547268990,83,-33.52,-56.9,60.68,8.3
Dalvik,0,SE,1547266800,85,57.79,14.13,23.0,2.24
Husavik,56,CA,1547268992,70,50.56,-96.99,-1.69,3.38
Cidreira,92,BR,1547268993,97,-30.17,-50.22,71.75,9.19
Inhambane,75,MZ,1547265600,79,-23.87,35.38,86.0,11.41
Erzurum,20,TR,1547266800,83,39.91,41.27,-5.81,2.04
Blackfoot,90,US,1547267760,84,43.19,-112.35,32.0,8.05
Caravelas,80,BR,1547268998,100,-17.73,-39.27,80.39,9.53
Kupang,68,ID,1547268999,83,-10.16,123.6,86.33,8.41
Dingle,12,PH,1547269000,64,11.0,122.67,84.53,12.33
Atar,0,MR,1547269001,43,20.52,-13.05,44.66,6.73
Belaya Gora,8,RU,1547269003,0,68.54,146.19,-44.08,2.93
Ponta Delgada,40,PT,1547265600,82,37.73,-25.67,59.0,13.87
Galesburg,90,US,1547267700,88,40.95,-90.37,30.92,5.82
Antibes,0,FR,1547267400,48,43.58,7.11,39.2,14.99
Harrisonville,90,US,1547268900,98,38.65,-94.35,33.98,5.82
San Cristobal,40,EC,1547265600,100,-0.39,-78.55,55.4,3.36
Esperance,20,TT,1547265600,88,10.24,-61.45,75.2,4.7
Effingham,90,US,1547267700,100,39.12,-88.54,30.74,5.82
Bulawayo,0,ZW,1547268896,81,-20.16,28.59,74.63,6.96
Miandrivazo,56,MG,1547269013,96,-19.53,45.46,77.24,3.94
Honiara,100,SB,1547269014,100,-9.43,159.96,77.24,2.59
Semporna,75,MY,1547265600,74,4.48,118.61,86.0,3.36
Ca Mau,80,VN,1547269017,74,9.18,105.15,84.71,14.9
Manta,36,RO,1547269018,80,45.1,24.1,11.36,1.59
Jaciara,80,BR,1547269019,98,-15.95,-54.98,67.97,3.15
Santa Lucia,5,IT,1547265300,60,39.93,9.66,41.0,6.93
Ambulu,32,ID,1547269023,100,-8.35,113.61,82.46,8.75
Jalu,0,LY,1547269024,45,29.03,21.55,45.65,11.65
Bella Union,76,CO,1547269025,98,8.5,-73.35,63.74,2.15
Mount Isa,40,AU,1547267400,27,-20.73,139.49,100.4,13.87
Carutapera,92,BR,1547269027,100,-1.2,-46.02,73.91,1.59
Baglan,90,GB,1547266800,100,51.62,-3.81,48.2,17.22
Careiro da Varzea,0,BR,1547265600,88,-3.2,-59.81,77.0,3.36
Semey,0,KZ,1547267400,76,50.41,80.25,-9.41,2.24
Poum,64,MK,1547269032,84,41.28,20.71,12.98,1.7
Hovd,90,NO,1547266800,95,63.83,10.7,37.4,13.87
Morgan City,75,US,1547265360,83,29.7,-91.21,53.96,8.05
